massa_kg,raio_medio_km,temperatura_k,id_classificacao
1.9891e+30,696000.0,5778.0,2
3.3011e+23,2439.7,440.0,1
4.8685e+24,6051.8,734.15,1
5.9736e+24,6378.1,287.15,1
6.4174e+23,3396.2,210.14999999999998,1
1.8986e+27,71492.0,165.14999999999998,1
5.6834e+26,58232.0,134.14999999999998,1
8.681e+25,25362.0,53.14999999999998,1
1.0241e+26,24622.0,49.99999999999997,1
1.303e+22,1188.3,44.0,3
1.6466e+22,1163.0,37.0,3
4.006e+21,816.0,32.0,3
3.14e+21,715.0,30.0,3
9.3835e+20,590.0,168.0,3
7.342e+22,1737.5,220.0,4
1.072e+16,11.1,233.0,4
1476200000000000.0,6.2,233.0,4
8.9319e+22,1821.6,110.0,4
4.7998e+22,1560.8,102.0,4
1.4819e+23,2634.1,110.0,4
1.0759e+23,2410.3,134.0,4
2.08e+18,83.5,165.0,4
3.7493e+19,198.2,64.0,4
1.08022e+20,252.1,75.0,4
6.17449e+20,536.3,86.0,4
1.095452e+21,562.5,87.0,4
2.306518e+21,764.3,53.0,4
3.527e+21,788.9,70.0,4
3.014e+21,761.4,80.0,4
1.275e+21,584.7,76.0,4
1.353e+21,578.9,60.0,4
6.3e+19,235.8,86.0,4
2.14e+22,1353.4,38.0,4
3.08e+19,170.0,48.0,4
4.2e+18,97.0,84.0,4
5.02e+18,210.0,53.0,4
2.2e+18,74.7,78.0,4
2.59076e+20,525.4,167.0,5
2.11143e+20,512.0,164.0,5
8.97e+19,434.0,163.0,5
1.8567e+19,268.3,152.0,5
2.24e+30,1220000.0,5790.0,2
1.68e+30,865000.0,5260.0,2
2.08e+29,169140.0,3042.0,2
2.02e+30,1711000.0,9940.0,2
9.93e+29,12100.0,25000.0,2
